"","GALCOHOL","GEVRALK","GBEERX","GLIQX","GVINX","count"
"81","Yes","Yes","1 bottle (33 cl)","12 cl",NA,4
"82","Yes","Yes","1 bottle (33 cl)","18 cl","10 cl (1 wine glass)",1
"83","Yes","Yes","1 bottle (33 cl)","18 cl","20 cl",8
"84","Yes","Yes","1 bottle (33 cl)","18 cl","37 cl (half a bottle)",14
"85","Yes","Yes","1 bottle (33 cl)","18 cl","75 cl (one whole bottle)",1
"86","Yes","Yes","1 bottle (33 cl)","18 cl",NA,8
"87","Yes","Yes","1 bottle (33 cl)","37 cl (half a bottle)","10 cl (1 wine glass)",2
"88","Yes","Yes","1 bottle (33 cl)","37 cl (half a bottle)","20 cl",5
"89","Yes","Yes","1 bottle (33 cl)","37 cl (half a bottle)","37 cl (half a bottle)",7
"90","Yes","Yes","1 bottle (33 cl)","37 cl (half a bottle)","60 cl",1
"91","Yes","Yes","1 bottle (33 cl)","37 cl (half a bottle)","75 cl (one whole bottle)",3
"92","Yes","Yes","1 bottle (33 cl)","37 cl (half a bottle)",NA,5
"93","Yes","Yes","1 bottle (33 cl)","75 cl (1 whole bottle)","37 cl (half a bottle)",1
"94","Yes","Yes","1 bottle (33 cl)",NA,"10 cl (1 wine glass)",4
"95","Yes","Yes","1 bottle (33 cl)",NA,"20 cl",4
"96","Yes","Yes","1 bottle (33 cl)",NA,"37 cl (half a bottle)",1
"97","Yes","Yes","1 bottle (33 cl)",NA,"60 cl",1
"98","Yes","Yes","1 bottle (33 cl)",NA,"75 cl (one whole bottle)",2
"99","Yes","Yes","1 bottle (33 cl)",NA,NA,2
"100","Yes","Yes","2 bottles","4 cl (approx. a small shot or equivalent)","37 cl (half a bottle)",2
"101","Yes","Yes","2 bottles","6 cl (a big shot or equivalent)","10 cl (1 wine glass)",1
"102","Yes","Yes","2 bottles","6 cl (a big shot or equivalent)","20 cl",2
"103","Yes","Yes","2 bottles","6 cl (a big shot or equivalent)","37 cl (half a bottle)",3
"104","Yes","Yes","2 bottles","6 cl (a big shot or equivalent)","60 cl",1
"105","Yes","Yes","2 bottles","6 cl (a big shot or equivalent)","75 cl (one whole bottle)",1
"106","Yes","Yes","2 bottles","8 cl","20 cl",5
"107","Yes","Yes","2 bottles","8 cl","37 cl (half a bottle)",5
"108","Yes","Yes","2 bottles","8 cl","75 cl (one whole bottle)",1
"109","Yes","Yes","2 bottles","12 cl","10 cl (1 wine glass)",2
"110","Yes","Yes","2 bottles","12 cl","20 cl",1
"111","Yes","Yes","2 bottles","12 cl","37 cl (half a bottle)",4
"112","Yes","Yes","2 bottles","12 cl","75 cl (one whole bottle)",1
"113","Yes","Yes","2 bottles","12 cl",NA,2
"114","Yes","Yes","2 bottles","18 cl","10 cl (1 wine glass)",1
"115","Yes","Yes","2 bottles","18 cl","20 cl",2
"116","Yes","Yes","2 bottles","18 cl","37 cl (half a bottle)",2
"117","Yes","Yes","2 bottles","18 cl",NA,3
"118","Yes","Yes","2 bottles","37 cl (half a bottle)","20 cl",3
"119","Yes","Yes","2 bottles","37 cl (half a bottle)","75 cl (one whole bottle)",4
"120","Yes","Yes","2 bottles","37 cl (half a bottle)",NA,2
"121","Yes","Yes","2 bottles","60 cl","20 cl",1
"122","Yes","Yes","2 bottles","75 cl (1 whole bottle)","10 cl (1 wine glass)",1
"123","Yes","Yes","3 bottles (two 45 cl cans)","4 cl (approx. a small shot or equivalent)","37 cl (half a bottle)",1
"124","Yes","Yes","3 bottles (two 45 cl cans)","4 cl (approx. a small shot or equivalent)",NA,1
"125","Yes","Yes","3 bottles (two 45 cl cans)","8 cl","10 cl (1 wine glass)",1
"126","Yes","Yes","3 bottles (two 45 cl cans)","8 cl","20 cl",1
"127","Yes","Yes","3 bottles (two 45 cl cans)","8 cl","37 cl (half a bottle)",4
"128","Yes","Yes","3 bottles (two 45 cl cans)","8 cl","60 cl",2
"129","Yes","Yes","3 bottles (two 45 cl cans)","12 cl","20 cl",2
"130","Yes","Yes","3 bottles (two 45 cl cans)","12 cl","37 cl (half a bottle)",1
"131","Yes","Yes","3 bottles (two 45 cl cans)","12 cl",NA,1
"132","Yes","Yes","3 bottles (two 45 cl cans)","18 cl","10 cl (1 wine glass)",1
"133","Yes","Yes","3 bottles (two 45 cl cans)","18 cl","20 cl",1
"134","Yes","Yes","3 bottles (two 45 cl cans)","18 cl","37 cl (half a bottle)",1
"135","Yes","Yes","3 bottles (two 45 cl cans)","18 cl","75 cl (one whole bottle)",2
"136","Yes","Yes","3 bottles (two 45 cl cans)","18 cl",NA,1
"137","Yes","Yes","3 bottles (two 45 cl cans)","37 cl (half a bottle)","37 cl (half a bottle)",2
"138","Yes","Yes","3 bottles (two 45 cl cans)","37 cl (half a bottle)",NA,2
"139","Yes","Yes","3 bottles (two 45 cl cans)","75 cl (1 whole bottle)","37 cl (half a bottle)",1
"140","Yes","Yes","3 bottles (two 45 cl cans)",NA,"75 cl (one whole bottle)",1
"141","Yes","Yes","3 bottles (two 45 cl cans)",NA,NA,1
"142","Yes","Yes","4 bottles","12 cl",NA,2
"143","Yes","Yes","4 bottles","37 cl (half a bottle)","37 cl (half a bottle)",2
"144","Yes","Yes","4 bottles","37 cl (half a bottle)",NA,1
"145","Yes","Yes","5 bottles","37 cl (half a bottle)","10 cl (1 wine glass)",1
"146","Yes","Yes","5 bottles","37 cl (half a bottle)","37 cl (half a bottle)",2
"147","Yes","Yes","5 bottles","37 cl (half a bottle)","More than 1 whole bottle",1
"148","Yes","Yes","5 bottles","37 cl (half a bottle)",NA,1
"149","Yes","Yes","5 bottles","60 cl","37 cl (half a bottle)",1
"150","Yes","Yes","6 bottles or more","18 cl","More than 1 whole bottle",1
"151","Yes","Yes","6 bottles or more","37 cl (half a bottle)","37 cl (half a bottle)",2
"152","Yes","Yes","6 bottles or more","37 cl (half a bottle)",NA,2
"153","Yes","Yes","6 bottles or more","75 cl (1 whole bottle)",NA,2
"154","Yes","Yes","6 bottles or more",NA,NA,1
"155","Yes","Yes",NA,"4 cl (approx. a small shot or equivalent)","10 cl (1 wine glass)",39
"156","Yes","Yes",NA,"4 cl (approx. a small shot or equivalent)","20 cl",21
"157","Yes","Yes",NA,"4 cl (approx. a small shot or equivalent)","37 cl (half a bottle)",7
"158","Yes","Yes",NA,"4 cl (approx. a small shot or equivalent)",NA,6
"159","Yes","Yes",NA,"6 cl (a big shot or equivalent)","10 cl (1 wine glass)",9
"160","Yes","Yes",NA,"6 cl (a big shot or equivalent)","20 cl",10
"161","Yes","Yes",NA,"6 cl (a big shot or equivalent)","37 cl (half a bottle)",2
"162","Yes","Yes",NA,"6 cl (a big shot or equivalent)",NA,5
"163","Yes","Yes",NA,"8 cl","10 cl (1 wine glass)",3
"164","Yes","Yes",NA,"8 cl","20 cl",7
