"","BH105","BH106","BH101","BH103","count"
"215",2,1,4,0,1
"216",2,1,4,2,1
"217",2,1,4,4,1
"218",2,1,4,5,3
"219",2,1,5,0,1
"220",2,1,5,5,1
"221",2,1,6,4,1
"222",2,1,7,0,2
"223",2,1,7,1,1
"224",2,1,7,7,3
"225",2,2,0,0,21
"226",2,2,0,3,3
"227",2,2,0,5,1
"228",2,2,0,6,1
"229",2,2,0,7,5
"230",2,2,0,NA,1
"231",2,2,1,0,1
"232",2,2,1,1,1
"233",2,2,1,2,1
"234",2,2,1,7,1
"235",2,2,2,1,1
"236",2,2,2,2,2
"237",2,2,2,5,1
"238",2,2,3,7,2
"239",2,2,4,4,1
"240",2,2,5,0,1
"241",2,2,5,5,1
"242",2,2,5,7,1
"243",2,2,7,1,1
"244",2,3,0,0,3
"245",2,3,0,1,1
"246",2,3,0,2,2
"247",2,3,0,7,1
"248",2,3,1,7,2
"249",2,3,2,2,1
"250",2,3,4,5,1
"251",2,4,0,0,7
"252",2,4,0,2,1
"253",2,4,0,5,1
"254",2,4,0,6,1
"255",2,4,1,0,1
"256",2,4,2,0,1
"257",2,4,2,2,1
"258",2,4,2,3,1
"259",2,4,5,0,1
"260",2,5,0,0,1
"261",2,5,3,0,1
"262",2,NA,0,2,1
"263",3,0,0,0,190
"264",3,0,0,1,16
"265",3,0,0,2,14
"266",3,0,0,3,31
"267",3,0,0,4,10
"268",3,0,0,5,8
"269",3,0,0,6,3
"270",3,0,0,7,30
"271",3,0,1,0,8
"272",3,0,1,1,3
"273",3,0,1,2,3
"274",3,0,1,3,3
"275",3,0,1,4,1
"276",3,0,1,5,2
"277",3,0,1,7,1
"278",3,0,2,0,6
"279",3,0,2,2,3
"280",3,0,2,3,3
"281",3,0,2,4,1
"282",3,0,2,5,1
"283",3,0,2,7,1
"284",3,0,3,0,6
"285",3,0,3,1,1
"286",3,0,3,3,5
"287",3,0,3,4,2
"288",3,0,3,5,2
"289",3,0,3,6,1
"290",3,0,3,7,3
"291",3,0,4,0,1
"292",3,0,4,2,2
"293",3,0,4,3,1
"294",3,0,4,5,1
"295",3,0,5,0,2
"296",3,0,5,4,1
"297",3,0,5,5,3
"298",3,0,5,7,2
"299",3,0,7,2,1
"300",3,0,7,7,4
"301",3,1,0,0,81
"302",3,1,0,1,13
"303",3,1,0,2,13
"304",3,1,0,3,15
"305",3,1,0,4,9
"306",3,1,0,5,6
"307",3,1,0,6,3
"308",3,1,0,7,11
"309",3,1,1,0,5
"310",3,1,1,1,2
"311",3,1,1,2,3
"312",3,1,1,3,2
"313",3,1,1,6,1
"314",3,1,2,0,3
"315",3,1,2,1,2
"316",3,1,2,2,3
"317",3,1,2,3,2
"318",3,1,2,4,1
"319",3,1,2,5,1
"320",3,1,2,7,1
"321",3,1,3,0,7
"322",3,1,3,1,1
"323",3,1,3,2,3
"324",3,1,3,3,2
"325",3,1,3,5,1
"326",3,1,3,7,2
"327",3,1,4,0,2
"328",3,1,4,2,1
"329",3,1,4,3,1
"330",3,1,4,4,2
"331",3,1,4,5,1
"332",3,1,4,6,2
"333",3,1,4,7,1
"334",3,1,5,0,1
"335",3,1,5,3,1
