,SMOKER,PIPCIGAR,count,smoke_now,smoked_ever
1,Yes,Yes,7,TRUE,TRUE
2,Yes,No,169,TRUE,TRUE
3,No,Yes,41,TRUE,TRUE
4,No,NA,1851,FALSE,FALSE
5,NA,NA,19,,
